央,#genre#
贵州卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=gzws
云南卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=ynws
西藏卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=xzws
西藏藏语,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=xzzy
青海卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=qhws
安多卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=adws
新疆卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=xjws
兵团卫视,https://i.125011.xyz/live3.php?/PLTV/&auth=230930&id=btws
浙江卫视,http://116.7.250.50:9901/tsfile/live/0016_1.m3u8?key=txiptv&url=tvzb.com
吉林卫视,http://116.7.250.50:9901/tsfile/live/0017_1.m3u8?key=txiptv&url=tvzb.com
辽宁卫视,http://116.7.250.50:9901/tsfile/live/0018_1.m3u8?key=txiptv&url=tvzb.com
黑龙江卫视,http://116.7.250.50:9901/tsfile/live/0019_1.m3u8?key=txiptv&url=tvzb.com
河南卫视,http://116.7.250.50:9901/tsfile/live/0139_1.m3u8?key=txiptv&url=tvzb.com
内蒙古卫视,http://116.7.250.50:9901/tsfile/live/0109_1.m3u8?key=txiptv&url=tvzb.com
海南卫视,http://116.7.250.50:9901/tsfile/live/1000_1.m3u8?key=txiptv&url=tvzb.com
广东体育,http://116.7.250.50:9901/tsfile/live/1001_1.m3u8?key=txiptv&url=tvzb.com
广西卫视,http://116.7.250.50:9901/tsfile/live/0113_1.m3u8?key=txiptv&url=tvzb.com
云南卫视,http://116.7.250.50:9901/tsfile/live/0119_1.m3u8?key=txiptv&url=tvzb.com
江西卫视,http://116.7.250.50:9901/tsfile/live/0138_1.m3u8?key=txiptv&url=tvzb.com
山西卫视,http://116.7.250.50:9901/tsfile/live/0118_1.m3u8?key=txiptv&url=tvzb.com
河北卫视,http://116.7.250.50:9901/tsfile/live/0117_1.m3u8?key=txiptv&url=tvzb.com
青海卫视,http://116.7.250.50:9901/tsfile/live/0140_1.m3u8?key=txiptv&url=tvzb.com
甘肃卫视,http://116.7.250.50:9901/tsfile/live/0141_1.m3u8?key=txiptv&url=tvzb.com
陕西卫视,http://116.7.250.50:9901/tsfile/live/0136_1.m3u8?key=txiptv&url=tvzb.com
广东影视,http://116.7.250.50:9901/tsfile/live/1002_1.m3u8?key=txiptv&url=tvzb.com
财富天下,http://116.7.250.50:9901/tsfile/live/1003_1.m3u8?key=txiptv&url=tvzb.com
广东卫视,http://116.7.250.50:9901/tsfile/live/0125_1.m3u8?key=txiptv&url=tvzb.com
深圳都市,http://116.7.250.50:9901/tsfile/live/1004_1.m3u8?key=txiptv&url=tvzb.com
北京卫视,http://116.7.250.50:9901/tsfile/live/0122_1.m3u8?key=txiptv&url=tvzb.com
东方卫视,http://116.7.250.50:9901/tsfile/live/0107_1.m3u8?key=txiptv&url=tvzb.com
天津卫视,http://116.7.250.50:9901/tsfile/live/0135_1.m3u8?key=txiptv&url=tvzb.com
重庆卫视,http://116.7.250.50:9901/tsfile/live/0142_1.m3u8?key=txiptv&url=tvzb.com
江苏卫视,http://116.7.250.50:9901/tsfile/live/0127_1.m3u8?key=txiptv&url=tvzb.com
湖南卫视,http://116.7.250.50:9901/tsfile/live/0128_1.m3u8?key=txiptv&url=tvzb.com
贵州卫视,http://116.7.250.50:9901/tsfile/live/0120_1.m3u8?key=txiptv&url=tvzb.com
安徽卫视,http://116.7.250.50:9901/tsfile/live/0130_1.m3u8?key=txiptv&url=tvzb.com
四川卫视,http://116.7.250.50:9901/tsfile/live/0123_1.m3u8?key=txiptv&url=tvzb.com
广东少儿,http://116.7.250.50:9901/tsfile/live/1006_1.m3u8?key=txiptv&url=tvzb.com
山东卫视,http://116.7.250.50:9901/tsfile/live/0131_1.m3u8?key=txiptv&url=tvzb.com
湖北卫视,http://116.7.250.50:9901/tsfile/live/0132_1.m3u8?key=txiptv&url=tvzb.com
深圳卫视,http://116.7.250.50:9901/tsfile/live/0126_1.m3u8?key=txiptv&url=tvzb.com
深圳卫视,http://120.196.232.36:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226688/1.m3u8
安徽卫视,http://120.196.232.45:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226655/1.m3u8
安徽卫视,http://120.196.232.45:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226664/1.m3u8
北京卫视,http://120.196.232.46:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226719/1.m3u8
福建东南卫视,http://120.196.232.29:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226670/1.m3u8
贵州卫视,http://120.196.232.23:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226672/1.m3u8
海南卫视,http://120.196.232.25:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226679/1.m3u8
河北卫视,http://120.196.232.55:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226684/1.m3u8
河南卫视,http://120.196.232.29:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226668/1.m3u8
黑龙江卫视,http://120.196.232.24:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226716/1.m3u8
湖北卫视,http://120.196.232.55:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226713/1.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8
江苏卫视,http://120.196.232.15:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226692/1.m3u8
江西卫视,http://120.196.232.38:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226726/1.m3u8
江西卫视,http://120.196.232.21:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226682/1.m3u8
辽宁卫视,http://120.196.232.21:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226689/1.m3u8
山东卫视,http://120.196.232.15:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226693/1.m3u8
东方卫视,http://120.196.232.54:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226734/1.m3u8
四川卫视,http://120.196.232.18:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226659/1.m3u8
天津卫视,http://120.196.232.41:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226686/1.m3u8
浙江卫视,http://120.196.232.22:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226690/1.m3u8
重庆卫视,http://120.196.232.28:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226680/1.m3u8

港,#genre#
凤凰香港台,https://s2.pub/Y-09
凤凰中文台,https://s2.pub/Y-10
凤凰咨询台,https://s2.pub/Y-11
翡翠台,https://s2.pub/Y-12
翡翠台,http://r.jdshipin.com/qClQf
明珠台,https://s2.pub/Y-14
无线财经资讯,https://s2.pub/Y-19
无线财经资讯,http://r.jdshipin.com/jUx8K
无线新闻,https://s2.pub/Y-20
无线新闻,http://r.jdshipin.com/CkuBd

澳,#genre#
澳视澳门,http://61.244.22.5/ch1/ch1.live/index.m3u8
澳视澳门,https://pi.0472.org/tv/asam.php?auth=2310201855
澳门资讯,http://61.244.22.5/ch5/info_ch5.live/chunklist_w105010641.m3u8
澳门卫视,http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8

台,#genre#
民视,http://fhv8.yj011.net/sat/tv051.flv
台视,http://fhv8.yj011.net/sat/tv071.flv
中视,http://fhv8.yj011.net/sat/tv091.flv
华视,http://fhv8.yj011.net/sat/tv111.flv
中天新闻,https://s2.pub/AK-47
寰宇新闻,https://s2.pub/AK-48
三立台湾台,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*
三立都会台,,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*
纬来育乐,http://fhv8.yj011.net/sat/tv701.flv
NBA频道,https://s2.pub/Y-29
纬来体育,https://s2.pub/Y-32

百视通,#genre# ///百事通(Bestv),tvzb.com代理播放地址【停止ipv4,支持ipv6】
CCTV16-4K,http://tv.328326.com/iptv/tvzb88.php?id=cctv16hd4k/15000000
CCTV-4K,http://tv.328326.com/iptv/tvzb88.php?id=cctv4k/15000000
欢笑剧场4k,http://tv.328326.com/iptv/tvzb88.php?id=hxjc4k/15000000
CCTV1 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv1hd8m/8000000
CCTV2 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv2hd8m/8000000
CCTV3 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv38m/8000000
CCTV4 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv4hd8m/8000000
CCTV5 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv58m/8000000
CCTV5+ 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv5phd8m/8000000
CCTV6 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv6hd8m/8000000
CCTV7 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv7hd8m/8000000
CCTV8 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv8hd8m/8000000
CCTV9 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv9hd8m/8000000
CCTV10 8M,http://tv.328326.com/iptv/tvzb88.php?id=cctv10hd8m/8000000
